route_type,decision_type,kind,reason_name,position,requires_explanation,audience
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcceptsClient,decline,Household could not be located,2,true,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcceptsClient,decline,Ineligible for Housing Program,3,true,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcceptsClient,decline,Other,4,false,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcceptsClient,cancel,Vacancy filled by other client,0,false,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcceptsClient,cancel,Vacancy should not have been entered,1,false,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcceptsClient,cancel,Other,2,false,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Client deceased,0,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Client has declined match,1,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Client has disengaged,2,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Client no longer eligible for match,3,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Client received another housing opportunity,4,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,CORI,5,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Health and Safety,6,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Household could not be located,7,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Incarcerated,8,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Unwilling to live in SRO,9,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Unwilling to live in that neighborhood,10,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Vacancy filled by other client,11,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,decline,Other,12,false,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,cancel,Match expired,0,false,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,cancel,Vacancy should not have been entered,1,false,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesHsaAcceptsClient,cancel,Other,2,false,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Client deceased,0,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Client has declined match,1,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Client has disengaged,2,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Client no longer eligible for match,3,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Client received another housing opportunity,4,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,CORI,5,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Health and Safety,6,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Household could not be located,7,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Incarcerated,8,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Unwilling to live in SRO,9,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Unwilling to live in that neighborhood,10,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Vacancy filled by other client,11,true,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,decline,Other,12,false,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,cancel,Match expired,0,false,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,cancel,Vacancy should not have been entered,1,false,
MatchRoutes::HomelessSetAside,MatchDecisions::HomelessSetAside::SetAsidesRecordClientHousedDateOrDeclineHousingSubsidyAdministrator,cancel,Other,2,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,decline,Client has another housing option,0,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,decline,Client won't be eligible based on funding source,1,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,decline,Client won't be eligible for housing type,2,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,decline,Client won't be eligible for services,3,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,decline,Other,4,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Client deceased,0,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Client has declined match,1,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Client has disappeared,2,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Client has disengaged,3,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Housing Case Manager has disengaged,6,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Incarcerated,7,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Match expired – Agency interaction,8,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Match expired – No agency interaction,9,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Match expired – No Housing Case Manager interaction,10,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Match expired – No Shelter Agency interaction,11,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Match stalled - Agency has disengaged,12,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Match stalled – Housing Case Manager has disengaged,13,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Shelter Agency has disengaged,14,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Vacancy filled by other client,15,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Vacancy should not have been entered,16,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationDndStaff,cancel,Other,17,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Client has another housing option,0,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Client refused unit (non-SRO),1,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Client refused voucher,2,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Does not agree to services,3,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Does not want housing at this time,4,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Unsafe environment for this person,5,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Unwilling to live in SRO,6,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Unwilling to live in that neighborhood,7,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,decline,Other,8,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Client deceased,0,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Client has declined match,1,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Client has disappeared,2,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Client has disengaged,3,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Housing Case Manager has disengaged,6,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Incarcerated,7,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Match expired – Agency interaction,8,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Match expired – No agency interaction,9,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Match expired – No Housing Case Manager interaction,10,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Match expired – No Shelter Agency interaction,11,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Match stalled - Agency has disengaged,12,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Match stalled – Housing Case Manager has disengaged,13,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Shelter Agency has disengaged,14,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Vacancy filled by other client,15,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Vacancy should not have been entered,16,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationShelterAgency,cancel,Other,17,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Client has another housing option,0,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Client refused unit (non-SRO),1,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Client refused voucher,2,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Does not agree to services,3,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Does not want housing at this time,4,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Unsafe environment for this person,5,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Unwilling to live in SRO,6,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Unwilling to live in that neighborhood,7,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,decline,Other,8,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Client deceased,0,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Client has declined match,1,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Client has disappeared,2,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Client has disengaged,3,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Housing Case Manager has disengaged,6,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Incarcerated,7,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Match expired – Agency interaction,8,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Match expired – No agency interaction,9,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Match expired – No Housing Case Manager interaction,10,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Match expired – No Shelter Agency interaction,11,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Match stalled - Agency has disengaged,12,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Match stalled – Housing Case Manager has disengaged,13,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Shelter Agency has disengaged,14,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Vacancy filled by other client,15,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Vacancy should not have been entered,16,false,
MatchRoutes::Four,MatchDecisions::Four::MatchRecommendationHsa,cancel,Other,17,false,
MatchRoutes::Four,MatchDecisions::Four::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Additional screening criteria imposed by third parties,0,false,
MatchRoutes::Four,MatchDecisions::Four::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Client refused offer,1,false,
MatchRoutes::Four,MatchDecisions::Four::ScheduleCriminalHearingHousingSubsidyAdmin,decline,CORI,2,false,
MatchRoutes::Four,MatchDecisions::Four::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Falsification of documents,3,false,
MatchRoutes::Four,MatchDecisions::Four::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Health and Safety,4,false,
